"","pitcher_name","player_name","game_date","events","launch_angle","launch_speed","video_url"
"1","Dylan Cease","Rojas, Miguel",2024-10-05,"single",13,87.7,"https://baseballsavant.mlb.com/sporty-videos?playId=66fbe5cd-3c1b-4c26-b3f2-1c7867c4ca2f"
"2","Dylan Cease","Rojas, Miguel",2024-10-05,NA,4,93.1,"https://baseballsavant.mlb.com/sporty-videos?playId=031bf740-7dac-455c-b6da-d398031db2aa"
"3","Dylan Cease","Rojas, Miguel",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=ee1cc4f2-a695-4ac1-9ce4-872e313ec4a3"
"4","Dylan Cease","Rojas, Miguel",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=f30622f3-6696-4b0e-b90f-38a75b83a0f5"
"5","Dylan Cease","Rojas, Miguel",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=f2f1a197-a970-42d1-ab10-8ab036b992da"
"6","Dylan Cease","Edman, Tommy",2024-10-05,"single",-61,40.6,"https://baseballsavant.mlb.com/sporty-videos?playId=9d9e730c-df14-46aa-8448-68b68b2bbb20"
"7","Dylan Cease","Edman, Tommy",2024-10-05,NA,-38,70,"https://baseballsavant.mlb.com/sporty-videos?playId=e1465155-2aff-4fdf-b349-6f075f4917c5"
"8","Dylan Cease","Lux, Gavin",2024-10-05,"field_out",-18,95.6,"https://baseballsavant.mlb.com/sporty-videos?playId=0fe14d30-2a16-4202-8ed8-7ab1ad6e41c6"
"9","Dylan Cease","Lux, Gavin",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=2429f5da-4db7-485c-951c-7a4e9057996f"
"10","Dylan Cease","Lux, Gavin",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=38ab3675-7500-453b-80f3-a8cb20a48b26"
"11","Dylan Cease","Smith, Will",2024-10-05,"strikeout",NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=a577b4ac-4e45-49cc-a8e3-d5c3ae572ef4"
"12","Dylan Cease","Smith, Will",2024-10-05,NA,20,72.3,"https://baseballsavant.mlb.com/sporty-videos?playId=679c9802-d305-4e8f-8d24-b9acc25c7d78"
"13","Dylan Cease","Smith, Will",2024-10-05,NA,-26,84.2,"https://baseballsavant.mlb.com/sporty-videos?playId=285d4626-912a-4883-807d-e21afc519b7f"
"14","Dylan Cease","Smith, Will",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=2f1ca621-0bd7-4b0f-a4d5-a2de64f109f1"
"15","Dylan Cease","Smith, Will",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=fe7ac55b-505f-432d-be1d-2268402c9b2f"
"16","Dylan Cease","Smith, Will",2024-10-05,NA,40,79.9,"https://baseballsavant.mlb.com/sporty-videos?playId=b573c3ba-31a4-421c-bdf7-2c958c2738ad"
"17","Dylan Cease","Smith, Will",2024-10-05,NA,69,83.6,"https://baseballsavant.mlb.com/sporty-videos?playId=c9810663-df8a-46ba-aad8-3cd4c2aebd60"
"18","Dylan Cease","Smith, Will",2024-10-05,NA,-24,94.5,"https://baseballsavant.mlb.com/sporty-videos?playId=cfed47b5-1d75-4e85-8246-95eb5e7aaba1"
